solution,id,name,tactics,techniques
"Amazon Web Services","2b8cecfe-f705-432d-9f38-08207b9473e1","IAM assume role policy brute force","Credential Access","T1110"
"Amazon Web Services","48c49b1d-2aa0-442b-96e3-cae6ad1251cd","Bucket versioning suspended","Impact","T1485"
"Amazon Web Services","a2772445-9bb1-4176-9481-b262cb59118a","New access key created to user","Persistence","T1098"
"Amazon Web Services","4e3c81bf-61a4-47f4-b20d-a5a414ea08aa","CreateLoginProfile detected ","Persistence","T1098"
"Amazon Web Services","81a8880f-cc20-40ce-98d6-2fc6a1c5b9a4","Suspicious EC2 launched without a key pair","Execution","T1204"
"Amazon Web Services","b5b172b1-d976-4113-af1f-02f7bf7d2092","ECR image scan findings low","Execution","T1204"
"Amazon Web Services","4fbbae0a-ce5b-4b2a-b5e6-700920561680","ECR image scan findings medium","Execution","T1204"
"Amazon Web Services","c9ccaebf-314c-446d-b3f6-314560ccb0e1","Excessive execution of discovery events ","Discovery","T1526"
"Amazon Web Services","13afb771-5d55-4d69-a745-83d2fc69a923","Failed brute force on S3 bucket","Discovery","T1619"
"Amazon Web Services","bf130d1d-702b-4af6-9528-8bc4229e59f4","Multiple failed login attempts to an existing user without MFA","Credential Access","T1110"
"Amazon Web Services","7e258a45-b356-44f6-9a62-2643cef7b869","IAM AccessDenied discovery events","Discovery","T1087"
"Amazon Web Services","d022a62c-643b-4e8a-b583-0230e32a96e4","Changes made to AWS IAM objects","PrivilegeEscalation DefenseEvasion","T1078 T1484"
"Amazon Web Services","e0a67cd7-b4e5-4468-aae0-26cb16a1bbd2","Changes made to AWS IAM policy ","PrivilegeEscalation DefenseEvasion","T1078 T1484"
"Amazon Web Services","e1a91db8-f2b3-4531-bff6-da133d4f4f1a","IAM Privilege Escalation by Instance Profile attachment","PrivilegeEscalation","T1098"
"Amazon Web Services","d82ea1db-f600-4c9e-8ba8-d271e9c12eb8","Lambda function throttled","Impact","T1498"
"Amazon Web Services","77d0aadc-aaea-4346-b61a-bf7ac6b71bba","Lambda layer imported from external account","Persistence","T1525"
"Amazon Web Services","2dd2143b-6667-4a7a-b04f-98d22caeffac","Lambda UpdateFunctionCode","Execution","T1204"
"Amazon Web Services","838f59d4-fe47-422b-819d-1be502940547","Login profile updated","Persistence","T1098"
"Amazon Web Services","3b7df29e-a798-4b6b-9ef7-73b9a3cf56a2","Modification of route-table attributes","Defense Evasion","T1562"
"Amazon Web Services","05167149-4670-4a9f-b34e-5a0a92243194","Modification of subnet attributes","Defense Evasion","T1562"
"Amazon Web Services","a3a19731-9e82-49b6-9142-2dd570feefd5","Modification of vpc attributes","Defense Evasion","T1562"
"Amazon Web Services","49bae199-ea04-4a2e-95a6-e3a1f68ab259","Network ACL deleted","Defense Evasion","T1562"
"Amazon Web Services","4055466c-8a84-44c6-91d0-46469f3ba0b9","New AccessKey created for Root user","Persistence","T1078"
"Amazon Web Services","e73ebd34-4f04-4684-a5f0-dba820127ce8","CreatePolicyVersion with excessive permissions","Privilege Escalation","T1484"
"Amazon Web Services","0db42a94-e7c8-4bf1-99a7-1a2fb4158212","Privileged role attached to Instance","PrivilegeEscalation","T1098"
"Amazon Web Services","b9b0fd12-d72d-4f66-a013-c1acdeea2670","RDS instance master password changed","Privilege Escalation","T1484"
"Amazon Web Services","70c36558-e6d8-48b4-98b3-185d555cd5af","Risky role ","Persistence","T1098"
"Amazon Web Services","356aa5a8-fa6f-4eb9-baa9-ffcf725e3e82","S3 bucket has been deleted","Impact","T1485"
"Amazon Web Services","6eb59239-78c5-401d-acfa-5cb9b3d31cd4","S3 bucket encryption modified","Impact","T1486"
"Amazon Web Services","82ecf967-d6e9-4757-8f5d-42c562a8f05f","Suspicious activity of STS token related to EC2","Credential Access","T1528"
"Amazon Web Services","67af1633-311f-4a94-bc8f-f904a54637b2","Suspicious activity of STS token related to ECS","Credential Access","T1528"
"Amazon Web Services","0cd3eb95-6c8e-4eeb-8338-a0decdc0a328","Suspicious activity of STS token related to Glue","Credential Access","T1528"
"Amazon Web Services","46685737-676a-4084-8e98-31b2998062db","Suspicious activity of STS Token related to Kubernetes worker node","Credential Access","T1528"
"Amazon Web Services","70a6e84f-6f3b-4ce1-83d6-ea6df9e7a9dd","Suspicious activity of STS token related to Lambda","Credential Access","T1528"
"Amazon Web Services","5b6ee21d-da53-46eb-827c-eab2a9ba3d2f","Suspicious credential token access of valid IAM Roles","InitialAccess DefenseEvasion","T1078"
"Amazon Web Services","e0d57543-acbd-428b-bb96-24a67506f84d","Unused or Unsupported Cloud Regions","DefenseEvasion","T1535"
"Apache Log4j Vulnerability Detection","38cc38c3-bd6c-470e-ae1a-3136a9ded97f ","Possible exploitation of Apache log4j component detected","Persistence Execution ","T1059 T1053 "
"Apache Log4j Vulnerability Detection","78882f9a-f3ef-4010-973c-3f6336f5bef7","Suspicious Base64 download activity detected","Persistence Execution","T1059 T1053"
"Apache Log4j Vulnerability Detection","6fee32b3-3271-4a3f-9b01-dbd9432a1707","Possible Container Miner related artifacts detected","Impact Execution","T1496 T1203"
"Apache Log4j Vulnerability Detection","e178baf5-3cf3-4960-8ca4-8da6d90d8206","Suspicious manipulation of firewall detected via Syslog data","DefenseEvasion","T1562"
"Apache Log4j Vulnerability Detection","09e45ec6-ac42-4b5a-be69-54623c4aa062","Possible Linux attack toolkit detected via Syslog data","Reconnaissance Execution","T1595 T1203"
"Apache Log4j Vulnerability Detection","bf094505-fd2e-484f-b72a-acd79ee00ce8","Network Connection to New External LDAP Server","InitialAccess","T1190"
"Apache Log4j Vulnerability Detection","19abc034-139e-4e64-a05d-cb07ce8b003b","Malicious Connection to LDAP port for CVE-2021-44228 vulnerability","CommandAndControl","T1071"
"Apache Log4j Vulnerability Detection","020b05d3-6447-402c-87b6-f8faff7c7e19","Linux security related process termination activity detected","DefenseEvasion","T1489"
"Apache Log4j Vulnerability Detection","3e43fe23-c6c0-45ca-b680-263e8afada95","Suspicious Shell script detected","Persistence Execution","T1059 T1053"
"Apache Log4j Vulnerability Detection","1d4d383e-0ca6-4d3a-a861-8f37aeef18cb","Azure WAF Log4j CVE-2021-44228 hunting","InitialAccess","T1190"
"ApacheHTTPServer","afe13b7c-38b8-11ec-8d3d-0242ac130003","Apache - Top files requested with errors","InitialAccess","T1190 T1133"
