solution,name
"1Password","1Password"
"42Crunch API Protection","42CrunchAPIProtectionWorkbook"
"AI Analyst Darktrace","AIA-Darktrace"
"AIShield AI Security Monitoring","AIShield"
"ARGOSCloudSecurity","ARGOSCloudSecurityWorkbook"
"AgileSec Analytics Connector","InfoSecGlobal"
"Alsid For AD","AlsidIoA"
"Alsid For AD","AlsidIoE"
"Amazon Web Services","AmazonWebServicesNetworkActivities"
"Amazon Web Services","AmazonWebServicesUserActivities"
"Apache Log4j Vulnerability Detection","Log4jImpactAssessment"
"Apache Log4j Vulnerability Detection","Log4jPostCompromiseHunting"
"ApacheHTTPServer","ApacheHTTPServer"
"AristaAwakeSecurity","AristaAwakeSecurityWorkbook"
"Armorblox","ArmorbloxOverview"
"AtlassianJiraAudit","AtlassianJiraAudit"
"Authomize","Authomize"
"Azure Activity","AzureActivity"
"Azure Activity","AzureServiceHealthWorkbook"
"Azure Cloud NGFW by Palo Alto Networks","CloudNGFW-NetworkThreat"
"Azure Cloud NGFW by Palo Alto Networks","CloudNGFW-Overview"
"Azure DDoS Protection","AzDDoSStandardWorkbook"
"Azure Firewall","Azure%20Firewall%20Workbook%20-%20Deployment%20Template"
"Azure Firewall","Azure%20Firewall%20Workbook%20-%20Structured%20Logs%20-%20Deployment%20Template"
"Azure Firewall","AzureFirewallWorkbook-StructuredLogs"
"Azure Firewall","AzureFirewallWorkbook"
"Azure Key Vault","AzureKeyVaultWorkbook"
"Azure SQL Database solution for sentinel","Workbook-AzureSQLSecurity"
"Azure Web Application Firewall (WAF)","WebApplicationFirewallFirewallEvents"
"Azure Web Application Firewall (WAF)","WebApplicationFirewallGatewayAccessEvents"
"Azure Web Application Firewall (WAF)","WebApplicationFirewallOverview"
"Azure Web Application Firewall (WAF)","WebApplicationFirewallWAFTypeEvents"
"Azure kubernetes Service","AksSecurity"
"AzureSecurityBenchmark","AzureSecurityBenchmark"
"BETTER Mobile Threat Defense (MTD)","BETTER_MTD_Workbook"
"Barracuda CloudGen Firewall","Barracuda"
"BitSight","BitSightWorkbook"
"Bitglass","Bitglass"
"Bitwarden","BitwardenEventLogsAuthentication"
"Bitwarden","BitwardenEventLogsOrganization"
"Bitwarden","BitwardenEventLogsVaultItems"
"BloodHound Enterprise","BloodHoundEnterpriseAttackPath"
"BloodHound Enterprise","BloodHoundEnterprisePosture"
"Box","Box"
"Check Point","CheckPoint"
"Cisco ETD","CiscoETD"
"Cisco ISE","CiscoISE"
"Cisco SD-WAN","CiscoSDWAN"
"CiscoASA","Cisco"
"CiscoDuoSecurity","CiscoDuo"
"CiscoMeraki","CiscoMerakiWorkbook"
"CiscoSEG","CiscoSEG"
"CiscoUmbrella","CiscoUmbrella"
"CiscoWSA","CiscoWSA"
"Citrix Analytics for Security","Citrix"
"Citrix Web App Firewall","CitrixWAF"
"Cloudflare","Cloudflare"
"CofenseIntelligence","CofenseIntelligenceThreatIndicators"
"CofenseTriage","CofenseTriageThreatIndicators"
"Cognni","CognniIncidentsWorkbook"
"ContinuousDiagnostics&Mitigation","ContinuousDiagnostics%26Mitigation"
"Contrast Protect","ContrastProtect"
"Corelight","Corelight"
"CrowdStrike Falcon Endpoint Protection","CrowdStrikeFalconEndpointProtection"
